dataset_name,organism,organ,lifestage,platform,cell_number,publication,pmid,CL,remark
ALIGNED_Homo_sapiens_Kidney,Homo sapiens,Kidney,,,,,,,"Wu_human, Young, Hochane"
ALIGNED_Homo_sapiens_Mammary_Gland,Homo sapiens,Mammary Gland,,,,,,,"Nguyen_10x, Nguyen_C1"
ALIGNED_Homo_sapiens_Pancreas,Homo sapiens,Pancreas,,,,,,,"Baron_human, Segerstolpe, Muraro, Xin, Lawlor, Enge"
ALIGNED_Homo_sapiens_Bone_Marrow,Homo sapiens,Bone Marrow,,,,,,,"Velten_QUARTZ-seq, Velten_Smart-seq2"
ALIGNED_Homo_sapiens_Placenta,Homo sapiens,Placenta,,,,,,,"Vento-Tormo_10x, Vento-Tormo_Smart-seq2"
ALIGNED_Mus_musculus_Bladder,Mus musculus,Bladder,,,,,,,"Quake_10x_Bladder, Quake_Smart-seq2_Bladder"
ALIGNED_Mus_musculus_Bone_Marrow,Mus musculus,Bone Marrow,,,,,,,"Quake_10x_Bone_Marrow, Quake_Smart-seq2_Bone_Marrow"
ALIGNED_Mus_musculus_Kidney,Mus musculus,Kidney,,,,,,,"Karaiskos_mouse, Quake_Smart-seq2_Kidney, Quake_10x_Kidney"
ALIGNED_Mus_musculus_Limb_Muscle,Mus musculus,Limb Muscle,,,,,,,"Quake_10x_Limb_Muscle, Quake_Smart-seq2_Limb_Muscle"
ALIGNED_Mus_musculus_Liver,Mus musculus,Liver,,,,,,,"Quake_10x_Liver, Quake_Smart-seq2_Liver, Yang"
ALIGNED_Mus_musculus_Lung,Mus musculus,Lung,,,,,,,"Wang_Lung, Lee, Quake_10x_Lung, Quake_Smart-seq2_Lung"
ALIGNED_Mus_musculus_Mammary_Gland,Mus musculus,Mammary Gland,,,,,,,"Quake_10x_Mammary_Gland, Quake_Smart-seq2_Mammary_Gland, Sun, Bach"
ALIGNED_Mus_musculus_Pancreas,Mus musculus,Pancreas,,,,,,,"Baron_mouse, Quake_Smart-seq2_Pancreas"
ALIGNED_Mus_musculus_Retina,Mus musculus,Retina,,,,,,,"Macosko, Shekhar"
ALIGNED_Mus_musculus_Small_Intestine,Mus musculus,Small Intestine,,,,,,,"Haber_10x, Haber_10x_largecell, Haber_10x_region, Haber_10x_FAE, Haber_Smart-seq2"
ALIGNED_Mus_musculus_Spleen,Mus musculus,Spleen,,,,,,,"Quake_10x_Spleen, Quake_Smart-seq2_Spleen"
ALIGNED_Mus_musculus_Heart_and_Aorta,Mus musculus,"Heart, Aorta",,,,,,,"Quake_10x_Heart_and_Aorta, Quake_Smart-seq2_Heart"
ALIGNED_Mus_musculus_Thymus,Mus musculus,Thymus,,,,,,,"Quake_10x_Thymus, Quake_Smart-seq2_Thymus"
ALIGNED_Mus_musculus_Tongue,Mus musculus,Tongue,,,,,,,"Quake_10x_Tongue, Quake_Smart-seq2_Tongue"
ALIGNED_Mus_musculus_Trachea,Mus musculus,Trachea,,,,,,,"Quake_10x_Trachea, Quake_Smart-seq2_Trachea"
ALIGNED_Tabula_Muris,Mus musculus,Atlas,,,,,,,"Quake_10x, Quake_Smart-seq2"
