cell_type1,cell_ontology_class,cell_ontology_id
CD14+ Monocyte,monocyte,CL:0000576
CD19+ B,B cell,CL:0000236
CD34+,hematopoietic precursor cell,CL:0008001
CD4+ T Helper2,T-helper 2 cell,CL:0000546
CD4+/CD25 T Reg,regulatory T cell,CL:0000815
CD4+/CD45RA+/CD25- Naive T,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895
CD4+/CD45RO+ Memory,memory T cell,CL:0000813
CD56+ NK,natural killer cell,CL:0000623
CD8+ Cytotoxic T,cytotoxic T cell,CL:0000910
CD8+/CD45RA+ Naive Cytotoxic,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900
Dendritic,dendritic cell,CL:0000451
Dendritic cell,dendritic cell,CL:0000451
monocyte,monocyte,CL:0000576
