cell_type1,full_name,cell_ontology_class,cell_ontology_id,remark,study
a/b-KC,Kenyon cell,Kenyon cell,CL:0000673,higher,
a'/b'-KC,Kenyon cell,Kenyon cell,CL:0000673,higher,
G-KC,Kenyon cell,Kenyon cell,CL:0000673,higher,
Astrocyte-like,,astrocyte,CL:0000127,similar,
C2/C3,,,,,
Chiasm Glia,,glial cell,CL:0000125,higher,
Clock neurons,,central nervous system neuron,CL:2000029,higher,
Cortex Glia,,cerebral cortex glial cell,CL:1001579,exact,
dFB,dorsal fan-shaped body neurons,central nervous system neuron,CL:2000029,higher,
Dm8/Tm5c,,,,,
DN1,,,,,
Dopaminergic,,dopaminergic neuron,CL:0000700,exact,
Ensheathing glia,,glial cell,CL:0000125,higher,
Ensheathing Glia,,glial cell,CL:0000125,higher,
Hemocytes,,,,,
L1/L2/L3/L4/L5,,,,,
Lawf1,lamina wide-field neurons,,,,
Lawf2,lamina wide-field neurons,,,,
MBON,mushroom body output neuron,,,,
Mi1,,,,,
Mip,,,,,
Mt1,,,,,
Octopaminergic-Tyraminergic,,,,,
OPN: adPN and lPN,olfactory projection neuron,,,,
Peptidergic,,peptidergic neuron,CL:0000110,exact,
Perineurial glia,,glial cell,CL:0000125,higher,
Photoreceptors,,photoreceptor cell,CL:0000210,exact,
Pm1/Pm2,,,,,
Pm1/Pm2/Pm3,,,,,
Pm3,,,,,
Poxn,,,,,
Serotonergic,,serotonergic neuron,CL:0000850,exact,
Subperineurial Glia,,glial cell,CL:0000125,higher,
T1,,,,,
T2/T3,,,,,
T4/T5,,,,,
Tm1/TmY8,,,,,
Tm5ab,,,,,
Tm9,,,,,
TmY14,,,,,
