cell_type1,full_name,cell_ontology_class,cell_ontology_id,remark,study
UND,Undifferentiated cell,stem cell,CL:0000034,larger than exact,Ariss
VPE,Ventral peripodial epithelium,imaginal disc cell, CL:0000429,larger than exact,Ariss
PG,Perineurial glia,glial cell,CL:0000125,larger than exact,Ariss
SPG,Subperineurial glia,glial cell,CL:0000125,larger than exact,Ariss
WG,Wrapping glia,glial cell,CL:0000125,larger than exact,Ariss
LPR,Late photoreceptors,photoreceptor cell,CL:0000210,exact,Ariss
EPR,Early photoreceptors,photoreceptor cell,CL:0000210,exact,Ariss
SMW,Second mitotic wave,,,,Ariss
INT,Interommatidial cells,,,,Ariss
PPN,Pre-proneural domain,,,,Ariss
EAB,Eye-antennal border,,,,Ariss
ANT,Antenna,,,,Ariss
OCx,Ocellar complex,compound eye retinal cell,CL:0009001,larger than exact,Ariss
DPE,Dorsal peripodial epithelium,imaginal disc cell, CL:0000429,larger than exact,Ariss
MF,Morphogenetic furrow,,,,Ariss
