cell_type1,full_name,cell_ontology_class,cell_ontology_id,annotation,study
hepatocyte,,hepatocyte,CL:0000182,exact,Yang
cholangiocyte,,cholangiocyte,CL:1000488,exact,Yang
Hepatocytes,,hepatocyte,CL:0000182,exact,MacParland
periportal LSEC,periportal liver sinusoidal endothelial cells,endothelial cell of hepatic sinusoid,CL:1000398,,
central venous LSEC,,endothelial cell of hepatic sinusoid,CL:1000398,,
portal endothelial cell,,endothelial cell,CL:0000115,,
alpha-beta T cell,,alpha-beta T cell,CL:0000789,,
inflammatory macrophages,,inflammatory macrophage,CL:0000863,,
plasma cells,,plasma cell,CL:0000786,,
NK-like cells,,NA,NA,no match,
non inflammatory macrophages,,macrophage,CL:0000235,can add a new CL node,
mature antigen inexperienced B cells,,mature B cell,CL:0000785,,
Cholangiocytes,,cholangiocyte,CL:1000488,,
gamma-delta T cells 2,,gamma-delta T cell,CL:0000798,,
gamma-delta T cells 1,,gamma-delta T cell,CL:0000798,,
erythroid cells,,erythrocyte,CL:0000232,,
Hepatic stellate cells,,hepatic stellate cell,CL:0000632,,
