cell_type1,cell_ontology_class,cell_ontology_id,remark,study
alveolar type 1,type I pneumocyte,CL:0002062,exact,Wang_lung
alveolar type 2,type II pneumocyte,CL:0002063,exact,Wang_lung
mesenchyme,mesenchymal cell,CL:0008019,exact,Lee
Alveolar_Type1,type I pneumocyte,CL:0002062,exact,Madissoon_Lung
Alveolar_Type2,type II pneumocyte,CL:0002063,exact,Madissoon_Lung
B_cells,B cell,CL:0000236,exact,Madissoon_Lung
Blood_vessel,blood vessel endothelial cell,CL:0000071,exact,Madissoon_Lung
Ciliated,ciliated cell,CL:0000064,exact,Madissoon_Lung
DC_1,dendritic cell,CL:0000451,exact,Madissoon_Lung
DC_2,dendritic cell,CL:0000451,exact,Madissoon_Lung
DC_Monocyte_Dividing,dendritic cell,CL:0000451,exact,Madissoon_Lung
DC_activated,dendritic cell,CL:0000451,exact,Madissoon_Lung
DC_plasmacytoid,plasmacytoid dendritic cell,CL:0000784,exact,Madissoon_Lung
Fibroblast,fibroblast,CL:0000057,exact,Madissoon_Lung
Lymph_vessel,endothelial cell of lymphatic vessel,CL:0000704,exact,Madissoon_Lung
Macrophage_Dividing,lung macrophage,CL:1001603,exact,Madissoon_Lung
Macrophage_MARCOneg,lung macrophage,CL:1001603,exact,Madissoon_Lung
Macrophage_MARCOpos,lung macrophage,CL:1001603,exact,Madissoon_Lung
Mast_cells,mast cell,CL:0000097,exact,Madissoon_Lung
Monocyte,monocyte,CL:0000576,exact,Madissoon_Lung
Muscle_cells,muscle cell,CL:0000187,exact,Madissoon_Lung
NK,natural killer cell,CL:0000623,exact,Madissoon_Lung
NK_Dividing,natural killer cell,CL:0000623,exact,Madissoon_Lung
Plasma_cells,plasma cell,CL:0000786,exact,Madissoon_Lung
T_CD4,CD4-positive helper T cell,CL:0000492,exact,Madissoon_Lung
T_CD8_CytT,cytotoxic T cell,CL:0000910,exact,Madissoon_Lung
T_cells_Dividing,T cell,CL:0000084,exact,Madissoon_Lung
T_regulatory,regulatory T cell,CL:0000815,exact,Madissoon_Lung
