cell_type1,full_name,cell_ontology_class,cell_ontology_id,annotation,study
basal cell,,basal cell,CL:0000646,exact,Sun
luminal cell,,luminal epithelial cell of mammary gland,CL:0002326,exact,Sun
Lp,luminal progenitor,luminal epithelial cell of mammary gland,CL:0002326,exact,Bach
Hsp,hormone sensing progenitor,luminal epithelial cell of mammary gland,CL:0002326,exact,Bach
Hsd,hormone sensing differentiated,luminal epithelial cell of mammary gland,CL:0002326,exact,Bach
Bsl,basal cell,basal cell,CL:0000646,exact,Bach
Myo,myoepithelial cell,myoepithelial cell of mammary gland,CL:0002324,exact,Bach
Prc,procr+ cell,basal cell,CL:0000646,exact,Bach
Avd,differentiated alveolar cell,mammary alveolar cell,CL:0002325,exact,Bach
Avp,progenitor alveolar cell,mammary alveolar cell,CL:0002325,exact,Bach
Basal,,basal cell,CL:0000646,exact,Nguyen_10x
Basal_Myoepithelial,,basal cell,CL:0000646,exact,Nguyen_10x
Luminal_1_1,secretory L1,luminal epithelial cell of mammary gland,CL:0002326,exact,Nguyen_10x
Luminal_1_2,secretory L1,luminal epithelial cell of mammary gland,CL:0002326,exact,Nguyen_10x
Luminal_2,hormone-responsive L2-type cell,luminal epithelial cell of mammary gland,CL:0002326,exact,Nguyen_10x
BAS,basal cell,basal cell,CL:0000646,exact,Nguyen_C1
LUM,luminal cell,luminal epithelial cell of mammary gland,CL:0002326,exact,Nguyen_C1
Alveolar trajectory,,mammary alveolar cell,CL:0002325,exact,Giraddi_10x
Basal trajectory,,basal cell,CL:0000646,exact,Giraddi_10x
Luminal trajectory,,luminal epithelial cell of mammary gland,CL:0002326,exact,Giraddi_10x
MMPr trajectory,,mammary gland epithelial cell,,,Giraddi_10x
Primitive,,mammary stem cell,CL:0002451,exact,Giraddi_10x
