cell_type1,cell_ontology_class,cell_ontology_id,remark,study
Enteric neurons,enteric neuron,CL:0007011,exact,Zeisel_2018
Enteric glia,glial cell,CL:0000125,higher,Zeisel_2018
Oligodendrocytes,oligodendrocyte,CL:0000128,exact,Zeisel_2018
Cholinergic and monoaminergic neurons,,,,Zeisel_2018
Telencephalon projecting excitatory neurons,,,,Zeisel_2018
Telencephalon inhibitory interneurons,inhibitory interneuron,CL:0000498,higher,Zeisel_2018
Olfactory inhibitory neurons,,,,Zeisel_2018
Peptidergic neurons,peptidergic neuron,CL:0000110,exact,Zeisel_2018
Di- and mesencephalon excitatory neurons,,,,Zeisel_2018
Glutamatergic neuroblasts,neuroblast,CL:0000031,higher,Zeisel_2018
Hindbrain neurons,CNS neuron (sensu Vertebrata),CL:0000117,higher,Zeisel_2018
Spinal cord excitatory neurons,,,,Zeisel_2018
Telencephalon projecting inhibitory neurons,,,,Zeisel_2018
Olfactory ensheathing cells,,,,Zeisel_2018
Non-glutamatergic neuroblasts,neuroblast,CL:0000031,higher,Zeisel_2018
Dentate gyrus radial glia-like cells,,,,Zeisel_2018
Subventricular zone radial glia-like cells,radial glial cell,CL:0000681,higher,Zeisel_2018
Oligodendrocyte precursor cells,oligodendrocyte precursor cell,CL:0002453,exact,Zeisel_2018
Ependymal cells,ependymal cell,CL:0000065,exact,Zeisel_2018
Subcommissural organ hypendymal cells,,,,Zeisel_2018
Dentate gyrus granule neurons,dentate gyrus of hippocampal formation granule cell,CL:2000089,exact,Zeisel_2018
Cerebellum neurons,cerebellum neuron,CL:1001611,exact,Zeisel_2018
Di- and mesencephalon inhibitory neurons,,,,Zeisel_2018
Spinal cord inhibitory neurons,,,,Zeisel_2018
Vascular and leptomeningeal cells,,,,Zeisel_2018
Vascular smooth muscle cells,vascular associated smooth muscle cell,CL:0000359,exact,Zeisel_2018
Pericytes,pericyte cell,CL:0000669,exact,Zeisel_2018
Vascular endothelial cells,endothelial cell of vascular tree,CL:0002139,exact,Zeisel_2018
Microglia,microglial cell,CL:0000129,exact,Zeisel_2018
Perivascular macrophages,perivascular macrophage,CL:0000881,exact,Zeisel_2018
Schwann cells,Schwann cell,CL:0002573,exact,Zeisel_2018
Satellite glia,glial cell,CL:0000125,higher,Zeisel_2018
Astrocytes,astrocyte,CL:0000127,exact,Zeisel_2018
Choroid epithelial cells,choroid plexus epithelial cell,CL:0000706,exact,Zeisel_2018
Sympathetic noradrenergic neurons,sympathetic noradrenergic neuron,CL:2000101,exact,Zeisel_2018
Sympathetic cholinergic neurons,sympathetic cholinergic neuron,CL:2000102,exact,Zeisel_2018
Peripheral sensory peptidergic neurons,peripheral sensory neuron,CL:2000103,higher,Zeisel_2018
Peripheral sensory neurofilament neurons,peripheral sensory neuron,CL:2000103,higher,Zeisel_2018
Peripheral sensory non-peptidergic neurons,peripheral sensory neuron,CL:2000103,higher,Zeisel_2018
