cell_type1,cell_ontology_class,cell_ontology_id,remark,study
B_CD27neg,B cell,CL:0000787,larger,Madissoon_Oesophagus
B_CD27pos,B cell,CL:0000787,,Madissoon_Oesophagus
Blood_vessel,blood vessel endothelial cell,CL:0000071,,Madissoon_Oesophagus
Dendritic_Cells,dendritic cell,CL:0000451,,Madissoon_Oesophagus
Epi_basal,epithelial cell,CL:0000066,,Madissoon_Oesophagus
Epi_dividing,epithelial cell,CL:0000066,,Madissoon_Oesophagus
Epi_stratified,epithelial cell,CL:0000066,,Madissoon_Oesophagus
Epi_suprabasal,epithelial cell,CL:0000066,,Madissoon_Oesophagus
Epi_upper,epithelial cell,CL:0000066,,Madissoon_Oesophagus
Glands_duct,duct epithelial cell,CL:0000068,,Madissoon_Oesophagus
Glands_mucous,mucus secreting cell,CL:0000319,,Madissoon_Oesophagus
Lymph_vessel,endothelial cell of lymphatic vessel,CL:0000704,,Madissoon_Oesophagus
Mast_cell,mast cell,CL:0000097,,Madissoon_Oesophagus
Stroma,stromal cell,CL:0000499,,Madissoon_Oesophagus
T_CD4,CD4-positive helper T cell,CL:0000492,,Madissoon_Oesophagus
T_CD8,cytotoxic T cell,CL:0000910,,Madissoon_Oesophagus
