cell_type1,cell_ontology_class,cell_ontology_id
alpha,pancreatic A cell,CL:0000171
delta,pancreatic D cell,CL:0000173
beta,type B pancreatic cell,CL:0000169
duct,pancreatic ductal cell,CL:0002079
ductal,pancreatic ductal cell,CL:0002079
acinar,pancreatic acinar cell,CL:0002064
mesenchyme,pancreatic stellate cell,CL:0002410
mesenchymal,pancreatic stellate cell,CL:0002410
stellate,pancreatic stellate cell,CL:0002410
activated_stellate,pancreatic stellate cell,CL:0002410
quiescent_stellate,pancreatic stellate cell,CL:0002410
PP,pancreatic PP cell,CL:0002275
gamma/PP,pancreatic PP cell,CL:0002275
gamma,pancreatic PP cell,CL:0002275
schwann,Schwann cell,CL:0002573
endothelial,endothelial cell,CL:0000115
epsilon,pancreatic epsilon cell,CL:0005019
macrophage,macrophage,CL:0000235
mast,mast cell,CL:0000097
t_cell,T cell,CL:0000084
MHC class II,professional antigen presenting cell,CL:0000145
PSC,pancreatic stellate cell,CL:0002410
B_cell,B cell,CL:0000236
T_cell,T cell,CL:0000084
immune_other,leukocyte,CL:0000738
unclassified endocrine,pancreatic endocrine cell,CL:0008024
