cell_type1,cell_ontology_class,cell_ontology_id,remark,study
B_Hypermutation,B cell,CL:0000236,larger,Madissoon_Spleen
B_T_doublet,,,ambiguous,Madissoon_Spleen
B_follicular,follicular B cell,CL:0000843,,Madissoon_Spleen
B_mantle,B cell,CL:0000236,larger,Madissoon_Spleen
CD34_progenitor,,,ambiguous,Madissoon_Spleen
DC_1,dendritic cell,CL:0000451,,Madissoon_Spleen
DC_2,dendritic cell,CL:0000451,,Madissoon_Spleen
DC_activated,dendritic cell,CL:0000451,,Madissoon_Spleen
DC_plasmacytoid,plasmacytoid dendritic cell,CL:0000784,,Madissoon_Spleen
ILC,innate lymphoid cell,CL:0001065,,Madissoon_Spleen
Macrophage,splenic macrophage,CL:0000871,,Madissoon_Spleen
Monocyte,monocyte,CL:0000576,,Madissoon_Spleen
NK_CD160pos,natural killer cell,CL:0000623,,Madissoon_Spleen
NK_FCGR3Apos,natural killer cell,CL:0000623,,Madissoon_Spleen
NK_dividing,natural killer cell,CL:0000623,,Madissoon_Spleen
Plasma_IgG,IgG plasma cell,CL:0000985,,Madissoon_Spleen
Plasma_IgM,IgM plasma cell,CL:0000986,,Madissoon_Spleen
Plasmablast,plasmablast,CL:0000980,,Madissoon_Spleen
Platelet,platelet,CL:0000233,,Madissoon_Spleen
T_CD4_conv,CD4-positive helper T cell,CL:0000492,,Madissoon_Spleen
T_CD4_fh,T follicular helper cell,CL:0002038,,Madissoon_Spleen
T_CD4_naive,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,,Madissoon_Spleen
T_CD4_reg,regulatory T cell,CL:0000815,,Madissoon_Spleen
T_CD8_CTL,cytotoxic T cell,CL:0000910,,Madissoon_Spleen
T_CD8_MAIT,,,new cell type,Madissoon_Spleen
T_CD8_activated,"activated CD8-positive, alpha-beta T cell",CL:0000906,,Madissoon_Spleen
T_CD8_gd,gamma-delta T cell,CL:0000798,,Madissoon_Spleen
T_cell_dividing,T cell,CL:0000084,,Madissoon_Spleen
Unknown,,,ambiguous,Madissoon_Spleen
