cell_type1,full_name,cell_ontology_class,cell_ontology_id,remark,study,
04hpf-blastocyst - EVL,enveloping layer epidermis,early embryonic cell,CL:0000007,larger than exact,Wagner,
04hpf-blastocyst - margin,marginal blastomeres,early embryonic cell,CL:0000007,larger than exact,Wagner,
04hpf-blastocyst - DEL,epiblast,epiblast cell,CL:0000352,exact,Wagner,
04hpf-blastocyst - germline,germline,germ line stem cell,CL:0000014,exact,Wagner,
06hpf-non-dorsal margin,marginal blastomeres,early embryonic cell,CL:0000007,larger than exact,Wagner,
06hpf-non-dorsal margin involuted,non-dorsal margin involuted,early embryonic cell,CL:0000007,larger than exact,Wagner,
06hpf-ectoderm - ventral,ectoderm ventral margin,ectodermal cell,CL:0000221,larger than exact,Wagner,
06hpf-dorsal margin involuted,dorsal margin involuted,early embryonic cell,CL:0000007,larger than exact,Wagner,
06hpf-ectoderm - dorsal,ectoderm dorsal,ectodermal cell,CL:0000221,larger than exact,Wagner,
06hpf-germline,germline,germ line stem cell,CL:0000014,exact,Wagner,
06hpf-apoptotic-like,apoptotic-like,cell,CL:0000000,larger than exact,Wagner,
06hpf-EVL,enveloping layer epidermis,epidermal cell,CL:0000362,larger than exact,Wagner,
06hpf-non-dorsal involuted anterior,non-dorsal involuted anterior,early embryonic cell,CL:0000007,larger than exact,Wagner,
06hpf-dorsal involuted anterior,dorsal involuted anterior,early embryonic cell,CL:0000007,larger than exact,Wagner,
06hpf-dorsal margin,dorsal margin,early embryonic cell,CL:0000007,larger than exact,Wagner,
08hpf-tailbud - PSM,tailbud Somitic Mesoderm,mesodermal cell,CL:0000222,larger than exact,Wagner,
08hpf-neural plate - posterior,neural plate posterior,neurecto-epithelial cell,CL:0000710,exact,Wagner,
08hpf-notocord,notocord,notochordal cell,CL:0007005,exact,Wagner,
08hpf-endoderm,endoderm,endodermal cell,CL:0000223,exact,Wagner,
08hpf-mesoderm - lateral plate,mesoderm lateral plate,lateral mesodermal cell,CL:0011010,exact,Wagner,
08hpf-apoptotic-like 2,apoptotic like 2,cell,CL:0000000,larger than exact,Wagner,
08hpf-mesoderm - adaxial cells,adaxial cells,adaxial cell,CL:0007016,exact,Wagner,
08hpf-neural plate - anterior,neural plate  anterior,neurecto-epithelial cell,CL:0000710,exact,Wagner,
08hpf-epidermal,epidermal,epidermal cell,CL:0000362,exact,Wagner,
08hpf-tailbud - spinal cord,spinal cord,spinal cord interneuron,CL:0005000,exact,Wagner,
08hpf-prechordal plate,prechordal plate,endodermal cell,CL:0000223,larger than exact,Wagner,
08hpf-apoptotic-like,apoptotic like,cell,CL:0000000,larger than exact,Wagner,
08hpf-forerunner cells,forerunner cells,early embryonic cell,CL:0000007,larger than exact,Wagner,
08hpf-EVL,enveloping layer epidermis,early embryonic cell,CL:0000007,larger than exact,Wagner,
08hpf-nanog-high,nanog high,early embryonic cell,CL:0000007,larger than exact,Wagner,
08hpf-germline,germline,germ line stem cell,CL:0000014,exact,Wagner,
10hpf-prechordal plate - hatching gland,hatching gland cell,hatching gland cell,CL:0000249,exact,Wagner,
10hpf-tailbud - spinal cord,spinal cord,spinal cord interneuron,CL:0005000,exact,Wagner,
